# Data measured at q = 1.4 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 2.251279087954979607e-01 1.760943312802953908e-01
-2.877551020408163351e-01 3.080753363077813334e-01 1.186359522322308901e-01
-2.755102040816326259e-01 2.173300097580607160e-01 1.427639728668419206e-01
-2.632653061224489721e-01 2.693463195351110673e-01 4.224072666689188127e-01
-2.510204081632653184e-01 3.188400205115908825e-01 7.212326123164196356e-02
-2.387755102040816091e-01 4.270520828769319710e-01 1.388649777890915010e-02
-2.265306122448979553e-01 3.737211995704330936e-01 1.489185803286592336e-01
-2.142857142857142738e-01 4.386407953807560101e-01 1.761217297707357021e-01
-2.020408163265305923e-01 4.814537817800660369e-01 5.850983274264584533e-02
-1.897959183673469385e-01 5.113482747245905458e-01 4.695153599797109029e-02
-1.775510204081632570e-01 6.585326408842047119e-01 2.338346297923045436e-02
-1.653061224489795755e-01 6.101171995177547824e-01 1.710058139665783239e-01
-1.530612244897959218e-01 8.642496132945849396e-01 5.028948965615925165e-02
-1.408163265306122403e-01 9.915695290304947784e-01 2.386624397204147319e-01
-1.285714285714285587e-01 1.093486331138905809e+00 7.068296078799465865e-02
-1.163265306122449050e-01 1.237247942361024755e+00 1.887198633503447132e-01
-1.040816326530612235e-01 1.315174938150097006e+00 6.432683783705664404e-02
-9.183673469387754196e-02 1.677705330022243313e+00 5.373823695660259747e-02
-7.959183673469388820e-02 1.925102100340402300e+00 9.634498736172687761e-02
-6.734693877551020669e-02 2.347891037478571086e+00 1.318097262290344462e-01
-5.510204081632652517e-02 2.758412956255120729e+00 4.313497401118551178e-01
-4.285714285714287142e-02 3.249105077910797501e+00 1.017099591564200878e-02
-3.061224489795916215e-02 3.792146955032877909e+00 3.051040265224589515e-02
-1.836734693877550839e-02 4.069301387638578404e+00 2.108097629444430007e-02
-6.122448979591854634e-03 4.373764909296054881e+00 1.677636836989044866e-01
6.122448979591854634e-03 4.319275262479393085e+00 1.044750331274626326e-01
1.836734693877550839e-02 4.179948196739300847e+00 2.897822276571395683e-01
3.061224489795916215e-02 3.657076480964855936e+00 1.640445811122193953e-01
4.285714285714287142e-02 3.256020704158393730e+00 1.480137862751209898e-01
5.510204081632652517e-02 2.746952231282159040e+00 2.241693028813242783e-01
6.734693877551017893e-02 2.296267482106990165e+00 3.409504926751327075e-02
7.959183673469388820e-02 1.944475663652698305e+00 2.081442497784245782e-02
9.183673469387754196e-02 1.731330272198208897e+00 2.947778321378169419e-01
1.040816326530611957e-01 1.370086526605441168e+00 3.100958651264202337e-01
1.163265306122449050e-01 1.181773416809269284e+00 2.423306965992750028e-01
1.285714285714285587e-01 1.063052338787435547e+00 4.206460799247560001e-01
1.408163265306122125e-01 8.496086479285449578e-01 2.699090042135349754e-01
1.530612244897959218e-01 8.314872109291547853e-01 1.622725078575932012e-01
1.653061224489795755e-01 7.626555073241344518e-01 3.040018388957839712e-01
1.775510204081632293e-01 5.984425005159655919e-01 2.816027008662609979e-02
1.897959183673469385e-01 5.873940247821475280e-01 2.369135334782580538e-01
2.020408163265306478e-01 4.807755098250383607e-01 6.362660057392061086e-02
2.142857142857142461e-01 4.579748315646843815e-01 6.514435964617205921e-02
2.265306122448979553e-01 3.857651942781581411e-01 9.599092247055717939e-03
2.387755102040816646e-01 4.028479627608487768e-01 2.936887471242158321e-01
2.510204081632652628e-01 3.297116306947797670e-01 6.875995236387884291e-02
2.632653061224489721e-01 3.276158805671671170e-01 3.055487326214250676e-01
2.755102040816326814e-01 2.712757340428583186e-01 2.711770993821203124e-01
2.877551020408162796e-01 2.128970649478528210e-01 2.220045751801060785e-01
2.999999999999999889e-01 3.470068569550013304e-01 8.901571593892770862e-02
